id,label
1,0.999448
10,0.004315
100,0.062602
1000,1.000000
10000,0.998964
10001,0.000066
10002,0.043346
10003,0.999997
10004,0.284671
10005,0.000049
10006,0.000660
10007,0.000827
10008,0.000015
10009,0.000020
1001,0.000232
10010,1.000000
10011,0.999863
10012,0.007464
10013,0.000092
10014,0.001226
10015,0.995314
10016,0.005285
10017,0.000031
10018,0.000704
10019,0.000003
1002,0.999949
10020,0.091337
10021,0.000567
10022,0.928479
10023,0.998190
10024,0.999998
10025,0.996388
10026,0.999967
10027,1.000000
10028,0.000046
10029,0.936910
1003,1.000000
10030,1.000000
10031,0.010950
10032,0.053726
10033,0.009419
10034,0.946787
10035,0.983375
10036,1.000000
10037,0.007371
10038,0.999728
10039,1.000000
1004,1.000000
10040,0.000000
10041,0.998979
10042,0.102084
10043,0.999998
10044,0.000000
10045,0.991358
10046,0.999719
10047,0.999835
10048,0.999998
10049,0.000040
1005,0.000000
10050,0.079503
10051,0.000004
10052,0.030600
10053,0.953058
10054,0.002585
10055,0.002985
10056,0.999909
10057,0.033375
10058,0.546810
10059,0.572255
1006,0.999994
10060,0.999916
10061,0.000014
10062,0.136690
10063,0.999795
10064,0.999942
10065,0.001313
10066,0.020492
10067,0.000504
10068,0.000684
10069,0.010371
1007,1.000000
10070,0.658460
10071,0.000001
10072,0.000183
10073,0.980130
10074,0.006747
10075,0.345523
10076,0.020640
10077,0.012863
10078,1.000000
10079,0.000003
1008,0.000089
10080,0.999916
10081,0.578441
10082,0.038955
10083,0.000193
10084,1.000000
10085,0.999924
10086,1.000000
10087,0.961885
10088,0.000037
10089,0.004664
1009,0.999983
10090,0.002142
10091,0.000800
10092,0.999992
10093,0.006279
10094,0.997590
10095,0.000126
10096,0.999866
10097,0.999999
10098,0.999961
10099,0.001431
101,0.006084
1010,0.999995
10100,0.995333
10101,0.999995
10102,0.061287
10103,0.000491
10104,1.000000
10105,0.666061
10106,0.000482
10107,0.550534
10108,0.997458
10109,0.000003
1011,0.000175
10110,0.992666
10111,0.039296
10112,0.000003
10113,1.000000
10114,0.014853
10115,0.001907
10116,0.999999
10117,0.000133
10118,0.001576
10119,0.890304
1012,0.999379
10120,0.003342
10121,0.000961
10122,0.018269
10123,0.043281
10124,0.999991
10125,0.001157
10126,0.000129
10127,0.877362
10128,0.052417
10129,0.966671
1013,0.000401
10130,0.024478
10131,0.847313
10132,0.000716
10133,0.000005
10134,0.996210
10135,1.000000
10136,0.999261
10137,0.010388
10138,0.995702
10139,0.999070
1014,1.000000
10140,0.030479
10141,0.995490
10142,0.193289
10143,0.923682
10144,0.999980
10145,0.001724
10146,0.998088
10147,0.998346
10148,0.989320
10149,0.003157
1015,0.000058
10150,0.006367
10151,0.000122
10152,0.000001
10153,0.985742
10154,0.187869
10155,0.999932
10156,0.041247
10157,0.012393
10158,0.000033
10159,0.996761
1016,0.006124
10160,0.000085
10161,0.000125
10162,0.999963
10163,1.000000
